"Subjects","Condition","correct","response_time"
"1","01","DNeutre",1,1376
"2","01","Cible",0,1537
"3","01","Cible",1,846
"4","01","DNeutre",1,969
"5","01","DNeutre",1,1208
"6","01","DNeutre",1,1459
"7","01","DNeutre",1,1041
"8","01","DNeutre",1,1362
"9","01","Cible",1,751
"10","01","DProche",1,1732
"11","01","DNeutre",1,1518
"12","01","DNeutre",1,1116
"13","01","Cible",0,1263
"14","01","DProche",1,1563
"15","01","DProche",1,1323
"16","01","DProche",1,1353
"17","01","Cible",0,1303
"18","01","Cible",1,731
"19","01","Cible",1,2030
"20","01","DProche",1,1284
"21","01","Cible",1,897
"22","01","DProche",1,992
"23","01","Cible",1,853
"24","01","Cible",1,986
"25","01","DNeutre",1,1519
"26","01","DNeutre",1,1117
"27","01","DNeutre",1,1086
"28","01","DProche",1,1455
"29","01","DNeutre",1,1166
"30","01","DProche",1,1208
"31","01","Cible",1,936
"32","01","DNeutre",1,1289
"33","01","DProche",1,1016
"34","01","Cible",1,1130
"35","01","DProche",1,1296
"36","01","Cible",1,931
"37","01","DNeutre",1,1115
"38","01","DProche",1,988
"39","01","DProche",1,1535
"40","01","DProche",1,1001
"41","01","DNeutre",1,1051
"42","01","Cible",1,726
"43","01","DProche",1,930
"44","01","Cible",1,849
"45","01","DProche",1,1087
"46","01","DNeutre",1,974
"47","01","DProche",1,1047
"48","01","Cible",1,662
"49","02","DNeutre",1,1489
"50","02","DProche",1,826
"51","02","DProche",0,1418
"52","02","DProche",1,1846
"53","02","DNeutre",1,755
"54","02","Cible",1,1352
"55","02","DNeutre",1,896
"56","02","DProche",1,981
"57","02","DNeutre",1,885
"58","02","DNeutre",1,903
"59","02","Cible",1,2211
"60","02","DProche",1,1027
"61","02","DNeutre",1,873
"62","02","DProche",1,885
"63","02","Cible",1,795
"64","02","DNeutre",0,916
"65","02","Cible",1,725
"66","02","DNeutre",1,981
"67","02","Cible",1,1425
"68","02","Cible",1,724
"69","02","DNeutre",1,609
"70","02","DProche",1,690
"71","02","DProche",1,700
"72","02","DNeutre",1,1109
"73","02","DNeutre",1,939
"74","02","Cible",1,828
"75","02","DNeutre",1,823
"76","02","DProche",0,1832
"77","02","Cible",1,687
"78","02","DProche",1,828
"79","02","DNeutre",1,837
"80","02","DNeutre",1,661
"81","02","Cible",1,759
"82","02","DProche",0,1725
"83","02","Cible",1,740
"84","02","DNeutre",1,1056
"85","02","Cible",1,725
"86","02","Cible",1,856
"87","02","Cible",1,916
"88","02","Cible",1,878
"89","02","DProche",1,1633
"90","02","Cible",1,637
"91","02","DProche",1,861
"92","02","Cible",1,591
"93","02","DNeutre",1,1148
"94","02","DProche",1,631
"95","02","DProche",1,889
"96","02","DProche",1,1196
"97","03","DNeutre",1,1135
"98","03","Cible",1,1199
"99","03","DNeutre",1,1096
"100","03","DProche",1,901
"101","03","Cible",1,698
"102","03","Cible",1,675
"103","03","DNeutre",1,1459
"104","03","DProche",1,1015
"105","03","Cible",1,770
"106","03","DNeutre",1,909
"107","03","DProche",1,1092
"108","03","DNeutre",1,1568
"109","03","DProche",1,1568
"110","03","DNeutre",1,2652
"111","03","DNeutre",1,2116
"112","03","DNeutre",1,2802
"113","03","DNeutre",1,1241
"114","03","DProche",1,1747
"115","03","DNeutre",0,1708
"116","03","DProche",1,1918
"117","03","DNeutre",1,2153
"118","03","Cible",1,820
"119","03","Cible",1,879
"120","03","Cible",1,958
"121","03","DNeutre",1,1597
"122","03","DProche",1,2361
"123","03","DProche",1,1833
"124","03","DProche",1,1627
"125","03","Cible",1,1129
"126","03","Cible",1,971
"127","03","DProche",1,1467
"128","03","Cible",1,1148
"129","03","DNeutre",1,1344
"130","03","DProche",1,2210
"131","03","Cible",1,1036
"132","03","DNeutre",1,1666
"133","03","DNeutre",1,3008
"134","03","DProche",1,1758
"135","03","DProche",0,3022
"136","03","Cible",1,1291
"137","03","Cible",1,839
"138","03","Cible",1,993
"139","03","DProche",1,2646
"140","03","DProche",1,2234
"141","03","DNeutre",1,1846
"142","03","Cible",1,915
"143","03","Cible",1,929
"144","03","DProche",1,1347
"145","04","DProche",1,1282
"146","04","DProche",1,1278
"147","04","Cible",1,2551
"148","04","Cible",1,673
"149","04","Cible",1,633
"150","04","DProche",1,904
"151","04","DNeutre",1,1177
"152","04","DProche",1,1199
"153","04","Cible",1,708
"154","04","DNeutre",1,804
"155","04","DProche",1,1711
"156","04","DNeutre",1,1314
"157","04","DProche",1,1242
"158","04","DNeutre",1,2575
"159","04","Cible",1,794
"160","04","DNeutre",1,1116
"161","04","DProche",1,803
"162","04","Cible",1,646
"163","04","DNeutre",0,2374
"164","04","DNeutre",1,1436
"165","04","Cible",1,2879
"166","04","DProche",1,2869
"167","04","DProche",1,924
"168","04","DNeutre",1,1713
"169","04","Cible",1,825
"170","04","Cible",1,1654
"171","04","DNeutre",1,698
"172","04","DNeutre",1,914
"173","04","DProche",1,1245
"174","04","DProche",1,1088
"175","04","DProche",1,1562
"176","04","Cible",1,796
"177","04","DNeutre",1,747
"178","04","Cible",1,831
"179","04","Cible",1,976
"180","04","Cible",0,675
"181","04","DNeutre",1,1095
"182","04","DNeutre",1,987
"183","04","Cible",1,2111
"184","04","DProche",1,674
"185","04","DProche",1,1195
"186","04","DNeutre",1,1633
"187","04","DProche",1,1609
"188","04","DNeutre",1,1348
"189","04","Cible",1,737
"190","04","DNeutre",1,922
"191","04","Cible",1,735
"192","04","DProche",1,939
